"id","code","year","name_en","name_zh","expected_population","deviation_percentage","main_areas","boundaries"
"3d9c5a4c-8544-44cd-a4ee-d05eca91166d","A01",1999,"Chung Wan","中環",,,"[]","[]"
"e6bb8ea9-2131-46ed-8745-d3fa2d6977fb","A02",1999,"Mid Levels East","半山東",,,"[]","[]"
"8d8010d6-6f8f-4840-9c2e-142380a3692d","A03",1999,"Castle Road","衛城",,,"[]","[]"
"688c6ce8-8e3e-41fd-ab3c-b9a6899e4ee5","A04",1999,"Peak","山頂",,,"[]","[]"
"9e65c5a4-35e5-47ab-b7ba-3c234a3c0f14","A05",1999,"University","大學",,,"[]","[]"
"6ad56204-01b7-46c1-a262-d57f15f6dc7e","A06",1999,"Kennedy Town & Mount Davis","堅摩",,,"[]","[]"
"90f0842d-4ea4-45b1-996c-0f09d86aaa08","A07",1999,"Kwun Lung","觀龍",,,"[]","[]"
"5f9d2bfb-d7c6-4242-9320-4ebbeecc9e7f","A08",1999,"Sai Wan","西環",,,"[]","[]"
"392f2e68-9108-4903-9b14-af03c6cb13cc","A09",1999,"Belcher","寶翠",,,"[]","[]"
"90b15783-b22c-4f64-8025-4226164b8d32","A10",1999,"Shek Tong Tsui","石塘咀",,,"[]","[]"
"0ce0a8fe-ceb3-4a7a-952c-89386a87f414","A11",1999,"Sai Ying Pun","西營盤",,,"[]","[]"
"cd6b8d69-44ba-4363-9232-c0f558add634","A12",1999,"Sheung Wan","上環",,,"[]","[]"
"1a4ce576-9b0c-4299-a2ce-bc4a77f5f037","A13",1999,"Tung Wah","東華",,,"[]","[]"
"e6b7e4d6-9eca-43a0-990a-8969ca3c0984","A14",1999,"Centre Street","正街",,,"[]","[]"
"066ff612-2682-4dc0-994d-805fe95aabd6","A15",1999,"Water Street","水街",,,"[]","[]"
"afc49777-96b2-4377-99af-dda7844ac4f7","B01",1999,"Hennessy","軒尼詩",,,"[]","[]"
"d56c431d-586c-49ba-b84c-e729d114db61","B02",1999,"Oi Kwan","愛群",,,"[]","[]"
"66cd46d6-0f55-4117-a43d-1bcba38f4603","B03",1999,"Canal Road","鵝頸",,,"[]","[]"
"88f18eae-572e-4cb7-aba4-e8a10b01e93a","B04",1999,"Causeway Bay","銅鑼灣",,,"[]","[]"
"4fcc60c2-54e2-4f1f-9da5-39203a1b1313","B05",1999,"Tai Hang","大坑",,,"[]","[]"
"5e878d41-ee2a-4939-aca4-68c9c4393902","B06",1999,"Jardine's Lookout","渣甸山",,,"[]","[]"
"700d29fd-3183-449e-84f8-00ff81de88b5","B07",1999,"Broadwood","樂活",,,"[]","[]"
"854820a0-ae7d-41c2-b92c-aa9b3af82602","B08",1999,"Happy Valley","跑馬地",,,"[]","[]"
"b0364455-7c8f-415a-ad67-fec69910ace8","B09",1999,"Stubbs Road","司徒拔道",,,"[]","[]"
"1b2690b8-cc4f-4baf-bdac-fb8caa224541","B10",1999,"Southorn","修頓",,,"[]","[]"
"53d169c7-e261-4ed1-ab87-21c7c987974b","B11",1999,"Tai Fat Hau","大佛口",,,"[]","[]"
"9f1bf5eb-31dc-4d1e-8fce-1a00ed778786","C01",1999,"Tai Koo Shing West","太古城西",,,"[]","[]"
"82374765-c547-45fb-8578-1a5f9e08e193","C02",1999,"Tai Koo Shing East","太古城東",,,"[]","[]"
"6ccece34-ed77-42f6-9f84-7b63e7bc8d93","C03",1999,"Lei King Wan","鯉景灣",,,"[]","[]"
"13a785b9-06be-4d20-80c2-989b8c0f60ab","C04",1999,"Shaukeiwan","筲箕灣",,,"[]","[]"
"d64b69c7-3607-41d0-939f-13dbddc72981","C05",1999,"A Kung Ngam","阿公岩",,,"[]","[]"
"9e327a39-78d3-4b0d-8a52-6bbddd3f9cb3","C06",1999,"Heng Fa Chuen","杏花邨",,,"[]","[]"
"f0a73143-7355-44c0-9041-46b7f9a9d8f4","C07",1999,"Tsui Wan","翠灣",,,"[]","[]"
"a58df3d7-7fb4-4266-abd2-57e5c49939c0","C08",1999,"Yan Yee","欣怡",,,"[]","[]"
"4e67a461-2ae6-40bb-9e12-b14c53371f27","C09",1999,"Siu Sai Wan","小西灣",,,"[]","[]"
"66cf613c-c764-4574-a0fc-de68d07827be","C10",1999,"Fullview","富景",,,"[]","[]"
"23e2a6ce-9fe4-4564-baac-614745fad006","C11",1999,"Wan Tsui","環翠",,,"[]","[]"
"623e00f7-d4d8-4cbd-b7c8-93b25899edc1","C12",1999,"Fei Tsui","翡翠",,,"[]","[]"
